,Q_HC,T_op,T_ext,Q_H,Q_C
2009-12-10 04:00:00,0.0,18.52495157213263,13.0,0.0,0.0
2009-12-10 05:00:00,4549.120409228455,19.999999999999996,12.0,4549.120409228455,0.0
2009-12-10 06:00:00,3666.4879409743385,19.999999999999996,13.6,3666.4879409743385,0.0
2009-12-10 07:00:00,3839.857652835911,20.0,12.0,3839.857652835911,0.0
2009-12-10 08:00:00,3866.630852345246,20.000000000000004,12.0,3866.630852345246,0.0
2009-12-10 09:00:00,3901.0031992566837,20.0,12.8,3901.0031992566837,0.0
2009-12-10 10:00:00,3642.9445218227734,20.0,15.0,3642.9445218227734,0.0
2009-12-10 11:00:00,3549.5962912951813,20.0,15.0,3549.5962912951813,0.0
2009-12-10 12:00:00,3270.999941478768,20.0,16.6,3270.999941478768,0.0
2009-12-10 13:00:00,3191.4406550358817,20.0,16.0,3191.4406550358817,0.0
2009-12-10 14:00:00,3072.3636637048166,20.0,16.0,3072.3636637048166,0.0
2009-12-10 15:00:00,2741.863535776273,20.0,18.2,2741.863535776273,0.0
2009-12-10 16:00:00,2897.0811883618044,20.0,16.0,2897.0811883618044,0.0
2009-12-10 17:00:00,2869.89841988554,20.0,16.0,2869.89841988554,0.0
2009-12-10 18:00:00,2859.015838943714,20.0,15.8,2859.015838943714,0.0
2009-12-10 19:00:00,3003.1531162784822,20.0,14.0,3003.1531162784822,0.0
2009-12-10 20:00:00,3134.702124752294,20.000000000000004,13.0,3134.702124752294,0.0
2009-12-10 21:00:00,3055.460727294821,19.999999999999996,14.0,3055.460727294821,0.0
2009-12-10 22:00:00,3185.1018355669753,20.0,13.0,3185.1018355669753,0.0
2009-12-10 23:00:00,0.0,18.92208584534612,12.0,0.0,0.0
2009-12-11 00:00:00,0.0,18.675430801352274,13.6,0.0,0.0
2009-12-11 01:00:00,0.0,18.54990790138723,12.0,0.0,0.0
2009-12-11 02:00:00,0.0,18.477801536266846,12.0,0.0,0.0
2009-12-11 03:00:00,0.0,18.443974945159407,13.4,0.0,0.0
2009-12-11 04:00:00,0.0,18.36874334523967,12.0,0.0,0.0
2009-12-11 05:00:00,4916.732345618306,20.0,12.0,4916.732345618306,0.0
2009-12-11 06:00:00,3983.0634025812965,20.0,13.2,3983.0634025812965,0.0
2009-12-11 07:00:00,4101.899652754221,19.999999999999996,12.0,4101.899652754221,0.0
2009-12-11 08:00:00,4117.245071087825,20.0,12.0,4117.245071087825,0.0
2009-12-11 09:00:00,4116.405089369612,20.0,13.0,4116.405089369612,0.0
2009-12-11 10:00:00,4210.37669315759,20.0,12.0,4210.37669315759,0.0
2009-12-11 11:00:00,4141.79669991558,20.0,12.0,4141.79669991558,0.0
2009-12-11 12:00:00,3783.127425627742,19.999999999999996,14.6,3783.127425627742,0.0
2009-12-11 13:00:00,3859.1066413610793,20.000000000000007,13.0,3859.1066413610793,0.0
2009-12-11 14:00:00,3795.7665730685035,20.0,13.0,3795.7665730685035,0.0
2009-12-11 15:00:00,3611.3565578859207,20.000000000000004,14.4,3611.3565578859207,0.0
2009-12-11 16:00:00,3677.569359172461,20.0,13.0,3677.569359172461,0.0
2009-12-11 17:00:00,3626.667923326905,20.000000000000004,13.4,3626.667923326905,0.0
2009-12-11 18:00:00,3583.432947038248,20.0,13.8,3583.432947038248,0.0
2009-12-11 19:00:00,3621.449171501934,20.0,13.0,3621.449171501934,0.0
2009-12-11 20:00:00,3747.927866779681,20.0,12.0,3747.927866779681,0.0
2009-12-11 21:00:00,3614.421563360222,20.0,13.4,3614.421563360222,0.0
2009-12-11 22:00:00,3777.083438129984,20.0,12.0,3777.083438129984,0.0
2009-12-11 23:00:00,0.0,18.743440468036546,12.0,0.0,0.0
2009-12-12 00:00:00,0.0,18.436620706125588,12.4,0.0,0.0
2009-12-12 01:00:00,0.0,18.27947472925851,10.0,0.0,0.0
2009-12-12 02:00:00,0.0,18.192308890833708,10.0,0.0,0.0
2009-12-12 03:00:00,0.0,18.166250697098846,12.4,0.0,0.0
2009-12-12 04:00:00,0.0,18.088226147086864,11.0,0.0,0.0
2009-12-12 05:00:00,5719.184743717723,20.0,11.0,5719.184743717723,0.0
2009-12-12 06:00:00,4758.139589150116,20.0,11.0,4758.139589150116,0.0
2009-12-12 07:00:00,4859.604195798217,19.999999999999996,10.0,4859.604195798217,0.0
2009-12-12 08:00:00,4882.6401868149605,19.999999999999996,10.0,4882.6401868149605,0.0
2009-12-12 09:00:00,4910.746288929785,19.999999999999996,10.8,4910.746288929785,0.0
2009-12-12 10:00:00,4974.083688137502,20.0,10.0,4974.083688137502,0.0
2009-12-12 11:00:00,4914.338135878764,20.0,10.0,4914.338135878764,0.0
2009-12-12 12:00:00,4677.4446570022565,19.999999999999993,11.6,4677.4446570022565,0.0
2009-12-12 13:00:00,4534.7119255095495,19.999999999999996,12.0,4534.7119255095495,0.0
2009-12-12 14:00:00,4452.040653949583,20.0,12.0,4452.040653949583,0.0
2009-12-12 15:00:00,4312.388973697407,19.999999999999996,12.8,4312.388973697407,0.0
2009-12-12 16:00:00,4305.232231974372,20.000000000000004,12.0,4305.232231974372,0.0
2009-12-12 17:00:00,4297.523685959325,20.0,12.0,4297.523685959325,0.0
2009-12-12 18:00:00,4316.577991793498,20.0,11.8,4316.577991793498,0.0
2009-12-12 19:00:00,4361.022463395624,20.0,11.0,4361.022463395624,0.0
2009-12-12 20:00:00,4381.806410540734,20.0,11.0,4381.806410540734,0.0
2009-12-12 21:00:00,4404.845699921962,19.999999999999996,11.0,4404.845699921962,0.0
2009-12-12 22:00:00,4416.827812281211,20.0,11.0,4416.827812281211,0.0
2009-12-12 23:00:00,0.0,18.503399165949613,10.0,0.0,0.0
2009-12-13 00:00:00,0.0,18.137686282924307,10.4,0.0,0.0
2009-12-13 01:00:00,0.0,17.999214916202234,10.0,0.0,0.0
2009-12-13 02:00:00,0.0,17.90236513242506,10.0,0.0,0.0
2009-12-13 03:00:00,0.0,17.81935650066739,9.6,0.0,0.0
2009-12-13 04:00:00,0.0,17.734084299678162,9.0,0.0,0.0
2009-12-13 05:00:00,5999.527718823676,20.000000000000004,9.0,5999.527718823676,0.0
2009-12-13 06:00:00,4685.292303161701,20.0,10.4,4685.292303161701,0.0
2009-12-13 07:00:00,5533.097509671616,20.0,9.0,5533.097509671616,0.0
2009-12-13 08:00:00,5542.009438119308,20.000000000000007,9.0,5542.009438119308,0.0
2009-12-13 09:00:00,5420.512759398057,20.0,10.4,5420.512759398057,0.0
2009-12-13 10:00:00,5558.559722915059,20.0,9.0,5558.559722915059,0.0
2009-12-13 11:00:00,5389.653794402802,20.0,10.0,5389.653794402802,0.0
2009-12-13 12:00:00,5162.591078517668,20.000000000000007,11.4,5162.591078517668,0.0
2009-12-13 13:00:00,5248.6629468207875,20.0,10.0,5248.6629468207875,0.0
2009-12-13 14:00:00,5202.860965254394,20.0,10.0,5202.860965254394,0.0
2009-12-13 15:00:00,5081.601320142674,20.0,11.0,5081.601320142674,0.0
2009-12-13 16:00:00,5169.60077640903,19.999999999999996,10.0,5169.60077640903,0.0
2009-12-13 17:00:00,5153.027475002388,20.0,10.0,5153.027475002388,0.0
2009-12-13 18:00:00,5120.161867248676,20.0,10.4,5120.161867248676,0.0
2009-12-13 19:00:00,5165.161354818244,19.999999999999996,10.0,5165.161354818244,0.0
2009-12-13 20:00:00,5175.793782425688,20.000000000000004,10.0,5175.793782425688,0.0
2009-12-13 21:00:00,4452.774587475615,20.0,10.0,4452.774587475615,0.0
2009-12-13 22:00:00,4506.2522133636285,20.0,9.0,4506.2522133636285,0.0
2009-12-13 23:00:00,0.0,18.23239366879023,9.0,0.0,0.0
2009-12-14 00:00:00,0.0,17.812582152872274,9.8,0.0,0.0
2009-12-14 01:00:00,0.0,17.65280962136373,9.0,0.0,0.0
2009-12-14 02:00:00,0.0,17.548375746345716,9.0,0.0,0.0
2009-12-14 03:00:00,0.0,17.48874593796782,10.0,0.0,0.0
2009-12-14 04:00:00,0.0,17.403558282665976,9.0,0.0,0.0
2009-12-14 05:00:00,6837.39946892833,20.0,9.0,6837.39946892833,0.0
2009-12-14 06:00:00,5314.43359777813,19.999999999999996,10.4,5314.43359777813,0.0
2009-12-14 07:00:00,6154.769763706617,20.0,9.0,6154.769763706617,0.0
2009-12-14 08:00:00,6139.919786599235,20.0,9.0,6139.919786599235,0.0
2009-12-14 09:00:00,5950.080008496827,19.999999999999996,10.8,5950.080008496827,0.0
2009-12-14 10:00:00,6111.086941079758,20.0,9.0,6111.086941079758,0.0
2009-12-14 11:00:00,5936.756054248516,19.999999999999996,10.0,5936.756054248516,0.0
2009-12-14 12:00:00,5694.218023232646,20.0,11.6,5694.218023232646,0.0
2009-12-14 13:00:00,5794.262566761532,20.0,10.0,5794.262566761532,0.0
2009-12-14 14:00:00,5730.905151230421,20.0,10.0,5730.905151230421,0.0
2009-12-14 15:00:00,5378.727862052017,20.0,12.8,5378.727862052017,0.0
2009-12-14 16:00:00,5392.628488193843,20.0,12.0,5392.628488193843,0.0
2009-12-14 17:00:00,5329.708465253392,20.0,12.0,5329.708465253392,0.0
2009-12-14 18:00:00,5177.346449695176,20.0,13.0,5177.346449695176,0.0
2009-12-14 19:00:00,5242.334958813893,20.0,12.0,5242.334958813893,0.0
2009-12-14 20:00:00,5209.763244770464,20.0,12.0,5209.763244770464,0.0
2009-12-14 21:00:00,4564.375480585422,20.000000000000004,12.0,4564.375480585422,0.0
2009-12-14 22:00:00,4529.198762746323,19.999999999999996,12.0,4529.198762746323,0.0
2009-12-14 23:00:00,0.0,18.220890903965028,11.0,0.0,0.0
